H3 Level 0 Cell Ordering Comparison
=====================================

Format: Old_Index → New_Index | Latitude, Longitude | Cell_Type
----------------------------------------------------------------------

  0 →   1 |   79.24,    38.02 | hexagon
  1 →   2 |   79.22,  -107.43 | hexagon
  2 →   3 |   74.93,   145.36 | hexagon
  3 →   8 |   69.66,   -30.97 | hexagon
  4 →   0 |   64.70,    10.54 | pentagon
  5 →   4 |   64.44,    89.57 | hexagon
  6 →  12 |   64.42,  -158.92 | hexagon
  7 →   9 |   60.43,   -77.21 | hexagon
  8 →   5 |   60.19,    45.31 | hexagon
  9 →  10 |   59.00,  -119.29 | hexagon
 10 →  14 |   55.26,   127.09 | hexagon
 11 →  13 |   55.25,   163.57 | hexagon
 12 →   7 |   52.68,   -11.60 | hexagon
 13 →  22 |   50.16,   -44.61 | hexagon
 14 →  11 |   50.10,  -143.48 | pentagon
 15 →   6 |   48.76,    18.30 | hexagon
 16 →  17 |   46.04,    71.53 | hexagon
 17 →  39 |   45.80,  -167.34 | hexagon
 18 →  16 |   44.99,   101.50 | hexagon
 19 →  42 |   43.42,   -97.42 | hexagon
 20 →  41 |   40.13,  -124.76 | hexagon
 21 →  23 |   39.99,   -70.15 | hexagon
 22 →  18 |   39.64,    44.21 | hexagon
 23 →  37 |   39.55,   143.64 | hexagon
 24 →  15 |   39.10,   122.30 | pentagon
 25 →  38 |   34.72,   169.25 | hexagon
 26 →  21 |   34.39,   -25.82 | hexagon
 27 →  40 |   33.91,  -147.58 | hexagon
 28 →  20 |   33.71,    -0.53 | hexagon
 29 →  25 |   30.02,   -50.04 | hexagon
 30 →  34 |   28.51,    86.01 | hexagon
 31 →  19 |   28.17,    23.03 | hexagon
 32 →  35 |   26.81,   109.17 | hexagon
 33 →  33 |   26.28,    62.95 | hexagon
 34 →  43 |   25.47,   -85.16 | hexagon
 35 →  47 |   25.30,  -169.12 | hexagon
 36 →  44 |   24.49,  -108.22 | hexagon
 37 →  36 |   24.05,   130.22 | hexagon
 38 →  24 |   23.72,   -67.13 | pentagon
 39 →  69 |   20.31,   152.07 | hexagon
 40 →  45 |   20.14,  -130.36 | hexagon
 41 →  31 |   19.09,    43.64 | hexagon
 42 →  27 |   16.70,   -13.37 | hexagon
 43 →  26 |   15.07,   -34.69 | hexagon
 44 →  29 |   14.13,     6.36 | hexagon
 45 →  48 |   14.03,   172.58 | hexagon
 46 →  46 |   13.23,  -150.98 | hexagon
 47 →  57 |   11.51,   -55.50 | hexagon
 48 →  65 |   10.77,    74.92 | hexagon
 49 →  32 |   10.45,    58.16 | pentagon
 50 →  66 |    9.90,    96.15 | hexagon
 51 →  56 |    8.98,   -74.83 | hexagon
 52 →  67 |    7.72,   117.19 | hexagon
 53 →  30 |    7.48,    26.17 | hexagon
 54 →  55 |    7.46,   -95.55 | hexagon
 55 →  54 |    4.99,  -116.08 | hexagon
 56 →  50 |    4.78,  -170.36 | hexagon
 57 →  68 |    4.53,   137.98 | hexagon
 58 →  28 |    2.30,    -5.25 | pentagon
 59 →  70 |    0.76,   158.57 | hexagon
 60 →  52 |    0.02,  -134.63 | hexagon
 61 →  63 |   -0.02,    45.37 | hexagon
